Title,date
"<p>-- <a href=""https://www.owlstonemedical.com/"">Owlstone Medical</a> (Cambridge, UK), breathalyzer for disease: <a href=""http://www.finsmes.com/2018/03/owlstone-medical-raises-15m-in-funding.html"">$15M</a> led by Horizons Ventures, participation from Aviva.</p>",2018-03-06
"<p>-- <a href=""http://www.okogen.com/"">Okogen</a> (San Diego, CA), ophthalmic anti-infective drugs: <a href=""https://www.benzinga.com/pressreleases/18/02/p11265995/okogen-an-innovator-in-treatments-for-infectious-eye-diseases-receives"">$10M</a> from Brandon Capital.</p>",2018-03-06
"<p>-- <a href=""https://www.hellomd.com/"">HelloMD</a> (San Francisco, CA), health/wellness cannabis support platform: <a href=""https://www.newcannabisventures.com/cannabis-tech-startup-hellomd-raises-7m-to-fund-health-wellness-platform-expansion/"">$7M</a> from undisclosed sources.</p>",2018-03-06
<p><strong>--Fintech--</strong></p>,2018-03-06
"<p>-- Amazon Pay (Singapore), digital payments: <a href=""https://inc42.com/buzz/ecommerce-amazon-pay-invests-digital-payments/?utm_source=linkedin&amp;utm_medium=social&amp;utm_campaign=no-preview"">$30M</a> from its parent company. </p>",2018-03-06
"<p>-- <a href=""http://capitolis.com/"">Capitolis</a> (New York, NY), services aimed at capital market constraints: <a href=""https://www.indexventures.com/news-room/news/capitolis-secures-29-million-financing-from-index-ventures-and-sequoia-capital"">$29M</a> Seed &amp; A led by Index Ventures, Sequoia Capital.</p>",2018-03-06
<p><strong>--Enterprise--</strong></p>,2018-03-06
"<p>-- <a href=""https://www.reddoorz.com/"">RedDoorz</a> (Singapore), platform holding certain rooms at budget hotels to specific standards: <a href=""https://techcrunch.com/2018/03/05/reddoorz-raises-11m/"">$11M</a> Pre-B from SIG, IFC, InnoVen, Jungle, DeepSky, FengHe, Hendale.</p>",2018-03-06
"<p>-- <a href=""http://redeam.com/"">Redeam</a> (Boulder, CO), scannable mobile ticket support for tour/activity enterprises: <a href=""http://www.finsmes.com/2018/03/redeam-secures-7-7m-in-series-a-funding.html"">$7.7M</a> A led by Vertical Venture Partners, participation from Thayer, JetBlue, Tallwave, Peninsula, Barney Harford, John Love, Russ Sach, Thomas See, Rob Torres.</p>",2018-03-06
"<p>-- <a href=""http://www.paro.io/"">Paro</a> (Chicago, IL), platform to outsource accounting services to curated professionals: <a href=""http://www.finsmes.com/2018/03/paro-raises-5m-in-series-a-funding.html"">$5M</a> A led by Revolution Ventures, participation from Global Founders, Tom Williams.</p>",2018-03-06
"<p>-- <a href=""https://www.hotelogix.com/"">Hotelogix</a> (New Delhi, India), hotel property management platform: <a href=""http://www.livemint.com/Companies/zoAbsjhxMb0yD40TNP7oyL/Hotelogix-raises-funds-from-Vertex-Ventures-others.html"">$5M</a> led by Vertex Ventures, participation from Saama.</p>",2018-03-06
<p><strong>--Consumer Internet--</strong></p>,2018-03-06
"<p>-- <a href=""https://theathletic.com/"">The Athletic</a> (San Francisco, CA), sports coverage sites: <a href=""http://awfulannouncing.com/athletic/the-athletic-raises-another-20-million-plans-to-double-staff-expand.html"">$20M</a> led by Evolution Media.</p>",2018-03-06
<p><strong>--Industrial--</strong></p>,2018-03-06
"<p>-- <a href=""https://www.thoughtwire.com/"">ThoughtWire</a> (Toronto, Canada), Industrial IoT platform to improve operations and maintenance: <a href=""http://www.finsmes.com/2018/03/thoughtwire-closes-20m-debt-and-series-a-financing.html"">$20M</a> Debt &amp; A from Yaletown, BDC, Round13, Epic, Comerica.</p>",2018-03-06
<p><strong>--AI/Machine Learning--</strong></p>,2018-03-06
"<p>-- <a href=""https://luminoso.com/"">Luminoso</a> (Cambridge, MA), natural language processing for contact center streamlining: <a href=""http://www.finsmes.com/2018/03/luminoso-raises-12-6m-in-series-a1-financing.html"">$12.6M</a> A1 from SD Porter Holdings, Raptor Holdco.</p>",2018-03-06
<p><strong>--</strong><strong>Regtech</strong><strong>--</strong></p>,2018-03-06
"<p>-- <a href=""https://www.ascentregtech.com/"">Ascent</a> (Chicago, IL), AI-based platform to consolidate regulatory data: <a href=""http://www.finsmes.com/2018/03/ascent-technologies-raises-6m-in-series-a-financing.html"">$6M</a> A led by Alsop Louie Partners, participation from Randall Kroszner, Temerity, Steve Kaplan, University of Chicago’s Polsky Center for Entrepreneurship and Innovation, Doug Monieson.</p>",2018-03-06
<p><strong>--Biotech/Health--</strong></p>,2018-03-01
"<p>-- <a href=""http://www.vielabio.com/"">Viela Bio</a> (Gaithersburg, MD), treatments for severe inflammation and autoimmune diseases: <a href=""http://www.finsmes.com/2018/02/viela-bio-launches-with-up-to-250m-in-series-a-financing.html"">$250M</a> A from Boyu, 6 Dimensions, Hillhouse, Temasek, Sirona.</p>",2018-03-01
"<p>-- <a href=""https://collectivehealth.com/"">Collective Health</a> (San Francisco, CA), workforce health management: <a href=""http://www.finsmes.com/2018/02/collective-health-raises-110m-in-funding.html"">$110M</a> from NEA, Founders Fund, GV, Maverick, Sun Life Financial, Mubadala.</p>",2018-03-01
"<p>-- <a href=""http://www.generationbio.com/"">Generation Bio</a> (Cambridge, MA), genetic medicines: <a href=""http://www.finsmes.com/2018/02/generation-bio-raises-100m-in-series-b-financing.html"">$100M</a> B from Fidelity Management &amp; Research Company/ Invus, Deerfield, Casdin Capital, Foresite, et al.</p>",2018-03-01
"<p>-- <a href=""http://www.rubiustx.com/"">Rubius Therapeutics</a> (Cambridge, MA), cellular therapies: <a href=""http://www.finsmes.com/2018/03/rubius-therapeutics-closes-100m-financing.html"">$100M</a> from undisclosed sources.</p>",2018-03-01
"<p>-- <a href=""http://www.inscripta.com/"">Inscripta</a> (Boulder, CO), gene-editing tech: <a href=""http://www.finsmes.com/2018/02/inscripta-completes-55-5m-series-c-funding.html"">$55.5M</a> C from Mérieux Développement, Paladin, Venrock, Foresite, Spruce, NanoDimension.</p>",2018-03-01
"<p>-- <a href=""https://www.sentibio.com/"">Senti Biosciences</a> (San Francisco, CA), synthetic gene circuits: <a href=""http://www.finsmes.com/2018/02/senti-biosciences-secures-53m-in-series-a-funding.html"">$53M</a> A led by NEA, participation from 8VC, Amgen, Pear, Lux, Menlo, Allen &amp; Company, Nest.Bio, Omega Funds, Goodman, LifeForce.</p>",2018-03-01
"<p>-- <a href=""https://www.businesswire.com/news/home/20180227005513/en/Quentis-Therapeutics-Debuts-48-Million-Series-Financing"">Quentis Therapeutics</a> (New York, NY), immuno-oncology treatments: <a href=""http://www.finsmes.com/2018/02/quentis-therapeutics-raises-48m-in-series-a-financing.html"">$48M</a> A led by Versant Ventures, Polaris Partners, participation from AbbVie, Taiho Pharmaceutical, Yonghua, Alexandria, New York Ventures.</p>",2018-03-01
"<p>-- <a href=""http://finchtherapeutics.com/"">Finch</a> (Somerville, MA), microbiome therapeutics: <a href=""http://www.finsmes.com/2018/03/finch-therapeutics-group-raises-36m-in-series-b-financing.html"">$36M</a> B from Shumway, Willett Advisors, Morgan Noble, Avenir Growth.</p>",2018-03-01
